PtID,overallrating,trial,feedback,order,word,rule,s1bfnetot
102,60,1,0,1,1,4,19
102,60,2,1,1,0,4,19
102,60,3,1,1,1,4,19
102,60,4,0,1,1,4,19
102,60,5,0,1,1,4,19
102,60,6,1,1,0,4,19
102,60,7,0,1,0,4,19
102,60,8,0,1,1,4,19
102,60,9,1,1,0,4,19
102,60,10,1,1,0,4,19
102,60,11,1,1,0,4,19
102,60,12,1,1,0,4,19
102,60,13,1,1,0,4,19
102,60,14,1,1,0,4,19
102,60,15,0,1,0,4,19
102,60,16,0,1,0,4,19
102,60,17,1,1,0,4,19
102,60,18,1,1,0,4,19
102,60,19,1,1,0,4,19
102,60,20,0,1,1,4,19
102,60,21,1,1,0,4,19
102,60,22,1,1,0,4,19
102,60,23,0,1,0,4,19
102,60,24,1,1,0,4,19
102,60,25,1,1,0,4,19
102,60,26,1,1,0,4,19
102,60,27,1,1,0,4,19
102,60,28,0,1,0,4,19
102,60,29,1,1,0,4,19
102,60,30,1,1,0,4,19
102,60,31,0,1,1,4,19
102,60,32,1,1,0,4,19
102,30,1,0,2,1,6,19
102,30,2,1,2,0,6,19
102,30,3,0,2,0,6,19
102,30,4,1,2,0,6,19
102,30,5,0,2,1,6,19
102,30,6,0,2,0,6,19
102,30,7,1,2,1,6,19
102,30,8,1,2,1,6,19
102,30,9,0,2,0,6,19
102,30,10,1,2,1,6,19
102,30,11,1,2,1,6,19
102,30,12,0,2,1,6,19
102,30,13,0,2,0,6,19
102,30,14,1,2,1,6,19
102,30,15,1,2,0,6,19
102,30,16,0,2,1,6,19
102,30,17,0,2,0,6,19
102,30,18,1,2,1,6,19
102,30,19,0,2,0,6,19
102,30,20,1,2,1,6,19
102,30,21,0,2,1,6,19
102,30,22,1,2,1,6,19
102,30,23,0,2,1,6,19
102,30,24,1,2,1,6,19
102,30,25,1,2,1,6,19
102,30,26,0,2,1,6,19
102,30,27,0,2,1,6,19
102,30,28,1,2,0,6,19
102,30,29,0,2,0,6,19
102,30,30,1,2,1,6,19
102,30,31,0,2,0,6,19
102,30,32,1,2,0,6,19
102,80,1,0,3,0,3,19
102,80,2,1,3,1,3,19
102,80,3,1,3,1,3,19
102,80,4,1,3,1,3,19
102,80,5,1,3,1,3,19
102,80,6,1,3,1,3,19
102,80,7,1,3,1,3,19
102,80,8,0,3,1,3,19
102,80,9,1,3,0,3,19
102,80,10,1,3,1,3,19
102,80,11,1,3,1,3,19
102,80,12,1,3,1,3,19
102,80,13,1,3,1,3,19
102,80,14,1,3,1,3,19
102,80,15,1,3,1,3,19
102,80,16,0,3,1,3,19
102,80,17,1,3,1,3,19
102,80,18,1,3,1,3,19
102,80,19,0,3,1,3,19
102,80,20,1,3,1,3,19
102,80,21,0,3,1,3,19
102,80,22,1,3,1,3,19
102,80,23,1,3,1,3,19
102,80,24,1,3,1,3,19
102,80,25,1,3,1,3,19
102,80,26,1,3,1,3,19
102,80,27,1,3,1,3,19
102,80,28,1,3,1,3,19
102,80,29,0,3,1,3,19
102,80,30,1,3,1,3,19
102,80,31,1,3,1,3,19
102,80,32,1,3,1,3,19
102,30,1,1,4,1,2,19
102,30,2,0,4,1,2,19
